180000,Martin Nový,363685
184541,GreenStyles, a.s.,2792355
184542,BlueNet, s.r.o.,1614636
184543,Big žirafa s.r.o.,2891072
184544,ZCZ, s.r.o.,1340234
184545,GreenStyles, a.s.,2060992
184546,Epic Internet a.s.,2277043
184547,Valza, a.s.,1428884
184549,Valza, a.s.,1813679
184550,Martin Nový,1104833
184551,GreenStyles, a.s.,2732830
184552,ZCZ, s.r.o.,164082
184554,ZCZ, s.r.o.,2238994
184555,Valza, a.s.,2615364
184556,Martin Nový,17853
184557,ZCZ, s.r.o.,2249650
184558,ZCZ, s.r.o.,504883
184561,Valza, a.s.,2783632
184563,Martin Nový,1372923
184564,BlueNet, s.r.o.,2435274
184565,Epic Internet a.s.,258284
184566,BlueNet, s.r.o.,1904524
184568,Big žirafa s.r.o.,2418720
184569,BlueNet, s.r.o.,2317678
184570,Martin Nový,2665609
184571,Big žirafa s.r.o.,1778809
184573,ZCZ, s.r.o.,1398187
184576,Epic Internet a.s.,286679
184577,GreenStyles, a.s.,2430039
184578,Epic Internet a.s.,291709
184579,GreenStyles, a.s.,1821483
184580,GreenStyles, a.s.,942112
184582,ZCZ, s.r.o.,2072542
184585,Epic Internet a.s.,1748778
184588,Martin Nový,-16991
184589,Martin Nový,1008686
184590,Valza, a.s.,627150
184591,Epic Internet a.s.,2609279
184592,Valza, a.s.,1571076
184593,ZCZ, s.r.o.,583972
184594,BlueNet, s.r.o.,2093918
184595,BlueNet, s.r.o.,2177530
184596,Big žirafa s.r.o.,2968149
184597,Epic Internet a.s.,2507164
184598,Martin Nový,2547778
184600,Big žirafa s.r.o.,2316661
184602,Epic Internet a.s.,651436
184603,Martin Nový,795061
184604,Big žirafa s.r.o.,399529
184605,Big žirafa s.r.o.,1410557
184607,ZCZ, s.r.o.,2152264
184609,Epic Internet a.s.,2434355
184610,Big žirafa s.r.o.,2804158
184611,Martin Nový,231673
184612,ZCZ, s.r.o.,989128
184613,BlueNet, s.r.o.,703177
184618,GreenStyles, a.s.,234217
184622,Epic Internet a.s.,2487247
184623,GreenStyles, a.s.,593700
184625,Big žirafa s.r.o.,700070
184627,ZCZ, s.r.o.,999501
184628,Martin Nový,500996
184629,ZCZ, s.r.o.,1213635
184630,Epic Internet a.s.,2697266
184631,Epic Internet a.s.,1178374
184634,Martin Nový,2468175
184635,ZCZ, s.r.o.,1644631
184636,ZCZ, s.r.o.,2650321
184637,Epic Internet a.s.,1146249
184638,Big žirafa s.r.o.,1067126
184639,Big žirafa s.r.o.,917199
184642,Martin Nový,433875
184643,Valza, a.s.,1808844
184645,GreenStyles, a.s.,277297
184646,GreenStyles, a.s.,729375
184647,ZCZ, s.r.o.,2496506
184649,Valza, a.s.,964684
184650,Martin Nový,2788900
184651,GreenStyles, a.s.,2911048
184652,Epic Internet a.s.,2778780
184656,GreenStyles, a.s.,2600863
184657,GreenStyles, a.s.,1326519
184659,BlueNet, s.r.o.,667612
184663,Big žirafa s.r.o.,2470134
184664,BlueNet, s.r.o.,2782291
184665,Big žirafa s.r.o.,2319837
184666,Valza, a.s.,1977108
184667,GreenStyles, a.s.,1504511
184669,Martin Nový,185669
184670,BlueNet, s.r.o.,1742799
184671,Martin Nový,1329282
184672,ZCZ, s.r.o.,2588575
184673,Epic Internet a.s.,1330833
184674,Big žirafa s.r.o.,382934
184675,BlueNet, s.r.o.,855519
184676,Martin Nový,2079886
184678,BlueNet, s.r.o.,65507
184680,Big žirafa s.r.o.,299110
184681,Valza, a.s.,1271218
184682,GreenStyles, a.s.,545897
184683,Martin Nový,1702673
184686,ZCZ, s.r.o.,497127
184687,ZCZ, s.r.o.,760401
184688,Martin Nový,2964566
184689,Epic Internet a.s.,672
184690,Martin Nový,1981769
184691,ZCZ, s.r.o.,713441
184693,BlueNet, s.r.o.,2798455
184694,GreenStyles, a.s.,-19686
184695,ZCZ, s.r.o.,203383
184697,Big žirafa s.r.o.,1046806
184698,Martin Nový,1055906
184699,Epic Internet a.s.,1099598
184700,ZCZ, s.r.o.,1720327
184701,Epic Internet a.s.,1326426
184702,GreenStyles, a.s.,2891257
184703,Martin Nový,530777
184704,GreenStyles, a.s.,1920739
184705,BlueNet, s.r.o.,65523
184706,GreenStyles, a.s.,105296
184707,Epic Internet a.s.,959278
184708,ZCZ, s.r.o.,1586650
184709,ZCZ, s.r.o.,2578744
184710,GreenStyles, a.s.,1451622
184711,Martin Nový,2468675
184713,Valza, a.s.,2076706
184714,BlueNet, s.r.o.,1437964
184715,BlueNet, s.r.o.,2425663
184716,Valza, a.s.,16206
184718,ZCZ, s.r.o.,-6764
184719,Epic Internet a.s.,893318
184720,ZCZ, s.r.o.,1405102
184721,ZCZ, s.r.o.,1893935
184722,GreenStyles, a.s.,2869104
184724,Martin Nový,2236749
184725,ZCZ, s.r.o.,324757
184726,Martin Nový,1625708
184727,GreenStyles, a.s.,387586
184728,BlueNet, s.r.o.,1688453
184729,ZCZ, s.r.o.,754840
184730,ZCZ, s.r.o.,1207602
184731,Valza, a.s.,1598245
184732,Big žirafa s.r.o.,2485698
184733,GreenStyles, a.s.,1914577
184735,GreenStyles, a.s.,2570605
184736,GreenStyles, a.s.,2616818
184737,ZCZ, s.r.o.,47505
184738,Valza, a.s.,1334956
184740,BlueNet, s.r.o.,64368
184741,Valza, a.s.,2689874
184743,ZCZ, s.r.o.,446412
184744,GreenStyles, a.s.,956268
184745,BlueNet, s.r.o.,1289636
184746,Epic Internet a.s.,1021835
184747,GreenStyles, a.s.,2709343
184748,BlueNet, s.r.o.,1944284
184750,ZCZ, s.r.o.,1224068
184751,Epic Internet a.s.,2616642
184753,Epic Internet a.s.,2101723
184754,BlueNet, s.r.o.,906192
184756,BlueNet, s.r.o.,1588335
184757,Valza, a.s.,2448045
184758,BlueNet, s.r.o.,2649866
184760,BlueNet, s.r.o.,2123546
184761,ZCZ, s.r.o.,2542485
184763,Martin Nový,1185736
184764,Martin Nový,518577
184765,GreenStyles, a.s.,2822827
184766,GreenStyles, a.s.,2520059
184768,ZCZ, s.r.o.,363662
184769,ZCZ, s.r.o.,2812660
184771,Valza, a.s.,86839
184772,Big žirafa s.r.o.,1991038
184775,GreenStyles, a.s.,217269
184776,Martin Nový,2213987
184777,Martin Nový,1180308
184778,Martin Nový,2979540
184779,ZCZ, s.r.o.,1211762
184780,ZCZ, s.r.o.,1958476
184782,Big žirafa s.r.o.,1454000
184783,Valza, a.s.,1103449
184784,ZCZ, s.r.o.,779540
184785,ZCZ, s.r.o.,1613528
184786,Big žirafa s.r.o.,1473854
184787,GreenStyles, a.s.,2534237
184788,Martin Nový,1512462
184789,GreenStyles, a.s.,2735838
184792,GreenStyles, a.s.,828998
184793,GreenStyles, a.s.,2371278
184794,ZCZ, s.r.o.,351417
184795,GreenStyles, a.s.,1257628
184796,Epic Internet a.s.,427740
184798,BlueNet, s.r.o.,609841
184801,Epic Internet a.s.,1730649
184802,ZCZ, s.r.o.,2692382
184803,GreenStyles, a.s.,1243552
184805,GreenStyles, a.s.,2977024
184806,Valza, a.s.,2380073
184808,GreenStyles, a.s.,2317492
184809,BlueNet, s.r.o.,2175717
184810,ZCZ, s.r.o.,58191
184812,ZCZ, s.r.o.,1744634
184814,BlueNet, s.r.o.,95193
184815,BlueNet, s.r.o.,2159064
184816,ZCZ, s.r.o.,848649
184817,BlueNet, s.r.o.,1545334
184818,BlueNet, s.r.o.,695168
184819,Big žirafa s.r.o.,2205830
184820,Epic Internet a.s.,1092260
184822,Epic Internet a.s.,180369
184823,ZCZ, s.r.o.,2480480
184824,Epic Internet a.s.,467525
184826,GreenStyles, a.s.,2425038
184827,ZCZ, s.r.o.,2909299
184829,ZCZ, s.r.o.,523912
184830,ZCZ, s.r.o.,2245229
184831,BlueNet, s.r.o.,889151
184832,ZCZ, s.r.o.,2867040
184833,Valza, a.s.,792133
184834,ZCZ, s.r.o.,529931
184835,ZCZ, s.r.o.,2841336
184836,GreenStyles, a.s.,873534
184839,ZCZ, s.r.o.,834668
184841,BlueNet, s.r.o.,1255463
184842,Martin Nový,-8491
184843,Valza, a.s.,2779908
184845,GreenStyles, a.s.,410016
184846,Big žirafa s.r.o.,2852298
184847,Valza, a.s.,1207933
184849,Valza, a.s.,1725811
184850,ZCZ, s.r.o.,2393677
184851,Valza, a.s.,1009382
184853,Epic Internet a.s.,1258437
184854,BlueNet, s.r.o.,-10253
184855,Valza, a.s.,2392639
184861,Martin Nový,2869632
184862,Big žirafa s.r.o.,162365
184863,Big žirafa s.r.o.,597335
184864,Epic Internet a.s.,2763268
184868,Martin Nový,1008148
184870,Epic Internet a.s.,2419591
184871,Martin Nový,1927044
184874,Valza, a.s.,1733242
184876,Valza, a.s.,440118
184879,GreenStyles, a.s.,422167
184880,Epic Internet a.s.,1012949
184883,Epic Internet a.s.,2103805
184884,Martin Nový,509912
184885,ZCZ, s.r.o.,2556795
184887,Martin Nový,1782777
184888,Martin Nový,107027
184889,Epic Internet a.s.,900289
184891,Valza, a.s.,1102151
184892,Valza, a.s.,1408229
184893,BlueNet, s.r.o.,259071
184894,Epic Internet a.s.,1099822
184895,Epic Internet a.s.,769671
184897,Big žirafa s.r.o.,2818540
184898,Martin Nový,1192326
184899,Big žirafa s.r.o.,1934724
184901,Epic Internet a.s.,1589073
184902,BlueNet, s.r.o.,1748796
184903,Martin Nový,2137916
184904,Big žirafa s.r.o.,1629908
184910,Valza, a.s.,1850614
184914,ZCZ, s.r.o.,736693
184915,Valza, a.s.,2735852
184916,Epic Internet a.s.,2269036
184918,BlueNet, s.r.o.,1917479
184919,ZCZ, s.r.o.,191160
184920,Martin Nový,2008846
184921,Epic Internet a.s.,1203315
184922,Epic Internet a.s.,2678598
184924,ZCZ, s.r.o.,2567583
184925,BlueNet, s.r.o.,537632
184926,Martin Nový,1217748
184927,BlueNet, s.r.o.,714407
184929,ZCZ, s.r.o.,588121
184931,Epic Internet a.s.,1284363
184933,Martin 
